body,title,url
"    A través de un sentido mensaje, vía redes sociales, El Astor anunció el cierre definitivo de dos de sus sedes en Medellín en El Poblado y Laureles.  Esto, según informó la compañía: “Teniendo en cuenta la situación por la que atravesamos como empresa y como sociedad, debemos adaptarnos y reinventarnos para garantizar que ustedes sigan disfrutando nuestros productos y servicios de la mejor manera”, a través del texto publicado en su cuenta de Instagram. No obstante, la empresa agregó que tendrá sus...    ", El Astor anunció el cierre de puertas de sus sedes de El Poblado y Laureles ,https://www.elcolombiano.com/negocios/empresas/el-astor-cierra-puertas-de-el-poblado-y-laureles-KH13143696
"    Miles de personas despidieron el lunes a George Floyd, el hombre muerto a manos de un policía hace dos semanas en Estados Unidos, en el velatorio llevado a cabo en Houston, el día en que la justicia fijó una fianza de un millón de dólares para el agente blanco acusado del asesinato que sacude a Estados Unidos y al mundo. Durante seis horas, más de 6.000 personas, según los organizadores, pasaron frente al ataúd abierto de Floyd, convertido en un símbolo de la lucha contra la brutalidad policial y...    ", Miles despiden a George Floyd en exequias en Houston ,https://www.elcolombiano.com/internacional/despiden-a-george-floyd-en-exequias-en-houston-GH13141689
  La captura por robo en el Valle de Aburrá que terminó en un cerco epidemiológico ,,https://www.elcolombiano.com/negocios/economia
"    El técnico español Juan Manuel Lillo, quien dirigió a Atlético Nacional en 2017, se vinculó este martes al Manchester City como segundo entrenador de Pep Guardiola.  Lillo llega a la disciplina del City después de haber dirigido al Qingdao Huanghai, con el que se proclamó campeón de la Segunda División china y al que ascendió a la Superliga de ese país.  “Estoy encantado de incorporarme al equipo técnico del Manchester City. Mi relación con Pep viene de hace muchos años y estoy muy feliz por unirme...    ", El polémico Juan Manuel Lillo ya se unió al Manchester City ,https://www.elcolombiano.com/deportes/futbol-europeo/juan-manuel-lillo-se-unio-al-manchester-city-NH13143079
"    Horas antes de radicar ante la Corte Suprema de Justicia la solicitud de nulidad para la medida de aseguramiento en su contra, Aníbal Gaviria Correa habló con EL COLOMBIANO sobre el proceso que hoy lo tiene suspendido de su cargo como gobernador de Antioquia.  Dijo que han sido días difíciles pero que está buscando la manera de sacar aprendizaje de ellos y agradeció el apoyo masivo que ha recibido de los gremios, políticos y ciudadanos en general.  ¿Cómo se enteró de la orden de la Fiscalía de privarlo...    ", “En la Fiscalía no hay garantías”: Gaviria ,https://www.elcolombiano.com/antioquia/entrevista-a-anibal-gaviria-sobre-apelacion-ante-la-corte-suprema-y-su-orden-de-detencion-emitida-por-fiscalia-FA13139905
  La captura por robo en el Valle de Aburrá que terminó en un cerco epidemiológico ,,https://www.elcolombiano.com/negocios/empresas
"    El cantante y compositor español Pau Donés Cirera, vocalista del grupo Jarabe de Palo, falleció a los 53 años este martes. En su carrera dejó grandes éxitos para la música en español, sencillos como “La flaca”, “Depende”, “Humo”, “El lado oscuro” o “Bonito”. Lectura relacionada: Falleció Pau Donés, cantante de Jarabe de Palo Pau Donés nació el 11 de octubre de 1966 en la clínica Sagrada Familia de Barcelona (España), según indica en su libro autobiográfico “50 palos... y sigo soñando”, aunque algunas...    "," Cinco canciones para recordar a Pau Donés, de Jarabe de Palo ",https://www.elcolombiano.com/cultura/musica/las-canciones-mas-escuchadas-de-pau-dones-en-youtube-GH13141869
"    Las autoridades incautaron 4,9 toneladas de cocaína que estaban camufladas en un cargamento de caucho en el puerto de Buenaventura, el principal del país en el océano Pacífico, y que tenía como destino Turquía, informó este martes la Policía. “La Policía (...) ha realizado un decomiso supremamente importante: 4.928 kilos de clorhidrato de cocaína se encontraban mezclados a través de caucho granulado en un cargamento que iba hacia Turquía”, aseguró el director de la Policía Antinarcóticos, el general...    "," Incautan 4,9 toneladas de cocaína en el puerto de Buenaventura ",https://www.elcolombiano.com/colombia/decomiso-de-49-toneladas-de-cocaina-en-puerto-de-buenaventura-PH13145912
  La captura por robo en el Valle de Aburrá que terminó en un cerco epidemiológico ,,https://www.elcolombiano.com/negocios
"    El alcalde de Medellín, Daniel Quintero Calle, manifestó que las autoridades avanzan en la consolidación de un plan piloto de reapertura de restaurantes que está a la espera de la autorización del Gobierno Nacional. Anunció que durante el día sin IVA, programado para el próximo viernes 19 de junio, no se tendrá pico y cédula en Medellín, con el fin de facilitar que los consumidores adquieran los productos y servicios y que el sector empresarial se vea beneficiado con la jornada.  “Hoy en Medellín...    ", Quintero anunció que en el día sin IVA no habrá pico y cédula en Medellín ,https://www.elcolombiano.com/antioquia/dia-sin-iva-no-habra-pico-y-cedula-en-medellin-PH13141097
"    La paz no ha florecido todavía en Ituango. No lo hizo cuando varios de sus pobladores reclamaron acceso a tierras en los 80 ni cuando se desmovilizaron los paramilitares en 2005 ni cuando un Acuerdo de Paz en 2016 acabó con la guerrilla de las Farc, enquistada en sus montañas. La asediada tierra ituanguina, estratégica para consolidar el corredor que conduce de Venezuela al mar Caribe, atravesando a Colombia de oriente a occidente, se volvió de nadie con la salida de las Farc, lo que aumentó el apetito...    ", La eterna lucha ilegal que padecen los ituanguinos  ,https://www.elcolombiano.com/colombia/la-eterna-lucha-ilegal-que-padecen-los-ituanguinos-AH13140440
"    La confianza del consumidor en mayo sigue en terreno negativo (-34 %), pero mejoró frente al resultado de abril cuando alcanzó el 41,3 %, cuando llegó a su punto más bajo desde 2001, lo que reflejaba el estado de opinión de las medidas de la cuarentena estricta que estaba viviendo el país, según reglejaron las cifras de Fedesarrollo. Le puede interesar: Confianza del consumidor en su punto más bajo desde 2001  La explicación de la mejora del indicador se da debido a un incremento el incremento observado...    "," Confianza del consumidor, ¿empezó senda de recuperación? ",https://www.elcolombiano.com/negocios/economia/confianza-del-consumidor-mejoro-en-mayo-de-2020-segun-fedesarrollo-AH13142323
"    El Juzgado 15 con función de Conocimiento del Circuito de Bogotá condenó a 28 meses de prisión al extécnico de la selección Colombia femenina sub-17 Didier Luna, por el delito de injuria por vía de hecho. El hombre deberá cancelar una multa de 15 Salarios Mínimos Mensuales Legales Vigentes por los hechos ocurridos entre diciembre de 2017 y marzo de 2018. La Fiscalía y la Procuraudría no apelaron la decisión mientras que la defensa de Luna, lo hará durante los próximos cinco días. El delito por el que...    "," Por injuria, 28 meses de prisión a extécnico de Selección acusado de acoso ",https://www.elcolombiano.com/deportes/futbol-colombiano/didier-luna-extecnico-de-seleccion-femenina-acusado-de-acoso-sexual-pagara-28-meses-de-prision-por-injuria-LH13144807
"    El Departamento Administrativo del Sistema de Prevención, Atención y Recuperación de Desastres de la Gobernación de Antioquia —Dapard— reportó afectaciones en cerca de 40 viviendas de Necoclí, en el Urabá antioqueño. Según información entregada por el Consejo Municipal de Gestión del Riesgo de Desastres, CMGRD, del municipio, la emergencia se presentó en los barrios La Primavera y Cristóbal Colón.  Vea también: Alerta en siete subregiones de Antioquia por lluvias De acuerdo con el Centro Regional de...    "," Por fuertes vientos, 40 viviendas sufrieron daños en Necoclí ",https://www.elcolombiano.com/antioquia/emergencia-en-necocli-en-40-viviendas-por-fuertes-vientos-CH13141164
"    El ministro de Salud, Fernando Ruiz Gómez, confirmó que al finalizar la semana su cartera emitirá los protocolos de bioseguridad para que deportes como el fútbol y las 17 disciplinas individuales que hacen parte del primera fase de reapertura, vuelvan a actividades.  “Esta semana salen dos protocolos, el del fútbol profesional y el protocolo de los deportes en general”, expresó el jefe de cartera a Blu Radio.  Lea aquí: Regreso de la Liga, embolatado El ministro Ruiz agregó que para la reanudación se...    ", Luz verde: Minsalud emitirá esta semana protocolos del fútbol y 17 disciplinas ,https://www.elcolombiano.com/deportes/otros-deportes/ministro-de-salud-afirma-que-esta-semana-se-emitiran-los-protocolos-de-futbol-IH13142479
"    El antioqueño Santiago Arias, defensor del Atlético de Madrid, expresó este lunes las ganas del equipo de volver a la competición, explicó que “hacía mucha falta” y advirtió de la complejidad del encuentro del próximo domingo contra el Athletic Club, que será un “rival difícil, que le gusta jugar y atacar en espacios por fuera”.  “Ya era hora, hacía mucha falta, ya queríamos regresar y jugar, creo que todos los jugadores y todos los equipos igual. Va a ser bonito y va a ser como empezar una temporada...    "," “Ya queríamos regresar y jugar, hacía mucha falta”: Arias ",https://www.elcolombiano.com/deportes/futbol-europeo/santiago-arias-del-atletico-de-madrid-esta-deseoso-de-jugar-en-el-regreso-de-la-liga-JH13141181
  La captura por robo en el Valle de Aburrá que terminó en un cerco epidemiológico ,,https://www.elcolombiano.com/colombia/paz-y-derechos-humanos
